"subsidiary_name";"geounit_name";"position_code";"aggregated_building_direction"
Московский;Спящая Москва Восток;25077000132;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077000141;GC/Рефарминг 900
Санкт-Петербургский;Пролетарский Питер Восток;25078103388;GC/Рефарминг 2100
Московский;Московская агломерация;25077004760;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077004761;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077000147;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077004762;GC/Рефарминг 900
Московский;Спящая Москва Север;25077000075;GC/Рефарминг 900
Московский;Спящая Москва Запад;25077000164;GC/Рефарминг 900
Московский;Спящая Москва Север;25077000169;GC/Рефарминг 900
Кемеровский;Кемеровская область_RuR;25042105750;GC/Рефарминг 2100
Московский;г.Балашиха;25077000481;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000920;GC/Рефарминг 900
Московский;Московская агломерация;25077000479;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000922;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000923;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000925;GC/Рефарминг 900
Московский;г.Щербинка;25077004683;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000926;GC/Рефарминг 900
Московский;Московская обл_RuR_Юг;25077000756;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000927;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000928;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000929;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000930;GC/Рефарминг 900
Московский;г.Пушкино;25050138201;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000931;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000932;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000935;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000936;GC/Рефарминг 900
Московский;Старая Москва;25077004158;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000938;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000939;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000940;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000941;GC/Рефарминг 900
Московский;Московская обл_RuR_Юг;25077000944;GC/Рефарминг 900
Московский;Московская обл_RuR_Юг;25077000945;GC/Рефарминг 900
Московский;Спящая Москва Запад;25077139574;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000946;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000948;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000949;GC/Рефарминг 900
Московский;Московская обл_RuR_Юг;25077000950;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000951;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000956;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000957;GC/Рефарминг 900
Московский;Московская обл_RuR_Юг;25077000958;GC/Рефарминг 900
Московский;Московская обл_RuR_Юг;25077000959;GC/Рефарминг 900
Московский;Московская обл_RuR_Юг;25077000960;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000961;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000962;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000963;GC/Рефарминг 900
Московский;Спящая Москва Север;25077000176;GC/Рефарминг 900
Московский;Старая Москва;25077000181;GC/Рефарминг 900
Московский;Старая Москва;25077000188;GC/Рефарминг 900
Московский;Деловая Москва;25077000189;GC/Рефарминг 900
Московский;Старая Москва;25077000190;GC/Рефарминг 900
Московский;Спящая Москва Запад;25077000192;GC/Рефарминг 900
Санкт-Петербургский;Курортный район;25078124514;GC/Рефарминг 2100
Московский;Старая Москва;25077004142;GC/Рефарминг 900
Московский;Спящая Москва Запад;25077000194;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077000195;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077000240;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077004143;GC/Рефарминг 900
Московский;Деловая Москва;25077000303;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077000319;GC/Рефарминг 900
Московский;Деловая Москва;25077000330;GC/Рефарминг 900
Московский;Деловая Москва;25077000330;GC/Рефарминг 900
Московский;Деловая Москва;25077000335;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077000654;GC/Рефарминг 900
Московский;Старая Москва;25077000215;GC/Рефарминг 900
Московский;Старая Москва;25077000091;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077000052;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000607;GC/Рефарминг 900
Московский;г.Химки;25077000643;GC/Рефарминг 900
Московский;г.Химки;25077000533;GC/Рефарминг 900
Московский;Московская агломерация;25077000742;GC/Рефарминг 900
Московский;Спящая Москва Север;25077000061;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000875;GC/Рефарминг 900
Московский;Спящая Москва Юг;25077004146;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000783;GC/Рефарминг 900
Московский;Московская обл_RuR_Восток;25077000754;GC/Рефарминг 900
Московский;Московская агломерация;25077000719;GC/Рефарминг 900
Московский;Московская обл_RuR_Север;25077000784;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000738;GC/Рефарминг 900
Московский;г.Клин;25077000851;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000761;GC/Рефарминг 900
Московский;Московская обл_RuR_Запад;25077000762;GC/Рефарминг 900
